"pollname","pollnum","ngroups","nindices","n_pairs","n_dis","n_group","freqdis","extdis","freqgrp","extgrp"
"UK EU",1,16,4,64,62,62,0.580645161290323,0.0299253527983367,0.532258064516129,0.0137515301788309
"UK Health",2,15,9,135,133,133,0.511278195488722,0.0123989842481384,0.406015037593985,-0.0164975686324094
"UK Monarchy",3,15,4,60,60,60,0.516666666666667,0.0203913764035693,0.45,-0.00463123845767895
"UK General Election",4,15,4,60,60,60,0.533333333333333,0.0335511328778035,0.533333333333333,0.00598550782745886
"Australia Republic Referendum",5,24,2,48,47,47,0.638297872340426,0.141749530512828,0.680851063829787,0.112672703330948
"UK Crime",6,20,5,100,99,99,0.515151515151515,0.0110705160923866,0.494949494949495,0.0018550657935645
"Tomorrow's Europe (EU)",7,18,7,126,126,126,0.714285714285714,0.0656050919245364,0.523809523809524,0.0165024119036107
"Central Power & Light",8,16,6,96,96,96,0.541666666666667,0.0252359202645889,0.40625,-0.0198165454578215
"Zeguo Township",9,16,9,144,144,144,0.520833333333333,0.0524694077710891,0.381944444444444,-0.0182661548803592
"Bulgarian National",10,17,12,204,197,197,0.644670050761421,0.0989820405909637,0.527918781725888,0.0182454564237361
"Europolis",11,25,2,50,48,48,0.583333333333333,0.0405071924603175,0.416666666666667,-0.00413896611966464
"New Haven, CT",12,16,2,32,32,32,0.59375,0.0503906253414849,0.59375,0.0438507585436611
"National Issues Convention 2",13,24,9,216,209,209,0.555023923444976,0.0276546622425802,0.4688995215311,1.56599969063017e-05
"By the People: National",14,15,9,135,133,133,0.593984962406015,0.0226035322117963,0.466165413533835,-0.00429399314267466
"By the People 2004 US General Election",15,15,6,90,90,90,0.611111111111111,0.0354295340050147,0.511111111111111,0.0136167709648615
"By the People 2004 US Presidential Primaries",16,16,3,48,48,48,0.520833333333333,-0.00524077957327275,0.375,-0.0269443816749503
"San Mateo, CA",17,26,4,100,99,99,0.606060606060606,0.0650986180684373,0.484848484848485,-0.00057027168665577
"By the People: Health and Education",18,30,11,330,324,324,0.564814814814815,0.0264524728606994,0.509259259259259,0.00302413006072746
"West Texas Utilities",19,14,6,84,84,84,0.535714285714286,0.0221200040812782,0.452380952380952,-0.00655641501482577
"National Issues Convention",20,30,9,270,265,264,0.558490566037736,0.0382754090774427,0.40530303030303,-0.00352094939732
"Southwestern Electric Power",21,14,6,84,81,81,0.530864197530864,0.0203589089781036,0.444444444444444,-0.0135606046259382
"Pair Mean (Actual Pairs)",NA,396,129,2476,2437,2436,0.571604431678293,0.0394701201723524,0.471264367816092,0.00175429996191234
