panel_label,construct,pairs_p,pairs_p_absolute,mean_p,mean_p_absolute
Corrected original,policy,2434,2480,-0.022365708624233774,0.007890874242023347
A1R 2019,policy,1854,1880,0.014421923665451204,0.0470754011059862
"Our Budget, Our Economy",policy,1827,1986,-0.019434724720028523,0.027521170015505362
Hong Kong: facilitated,policy,1,1,0,0
Hong Kong: casual,policy,0,1,NA,0.033333333333333326
Tanzania,policy,520,525,-0.03830942401615479,-0.007626856212570503
A1R Climate,climate_belief,419,420,0.04492753006037435,0.04776084697670833
A1R Climate,environmental_concern,310,315,0.03416993937961679,0.04748829829782211
A1R Climate,policy,6726,6825,0.024019739394995177,0.0393452595908963
Celaya,policy,53,56,-0.030592991913746634,-0.013095238095238096
UK: same-party,policy,188,188,0.06023366261398177,0.060537613981762925
UK: mixed-party,policy,149,160,-0.012682166826462136,0.014916666666666661
WhatsApp: gen_HH,affect,714,990,-0.0675770308123249,0.007954545454545466
WhatsApp: gen_HH,stereotype_judgment,0,0,NA,NA
WhatsApp: gen_HM,affect,619,800,-0.08057350565428106,-0.002656249999999987
WhatsApp: gen_HM,stereotype_judgment,0,0,NA,NA
WhatsApp: igr_HH,affect,680,920,-0.08731617647058819,0.00679347826086954
WhatsApp: igr_HH,stereotype_judgment,0,0,NA,NA
WhatsApp: igr_HM,affect,640,830,-0.08613281250000003,-0.008433734939759083
WhatsApp: igr_HM,stereotype_judgment,0,0,NA,NA
US cross-party conversation,affect,1248,1323,-0.015200320512820498,0.01060090702947846
Consensus: pupils,policy,0,0,NA,NA
Consensus: students,policy,74,82,-0.005630630630630633,0.024136178861788617
Diplomacy: structured,policy,22,27,-0.011363636363636357,0.05246913580246914
Diplomacy: structured,social_judgment,5,8,-8.326672684688675e-18,0.03125
Diplomacy: unstructured,policy,22,28,0.04545454545454545,0.08035714285714285
Diplomacy: unstructured,social_judgment,4,7,0,0.047619047619047616
Shizuoka,belief,7,8,0.028273809523809524,0.03645833333333333
Shizuoka,policy,78,80,-0.014448514448514442,0.009188988095238111
