study_id,study_label,panel_label,format,construct,dimension,component,pairs,mean,positive_fraction
original,Corrected original,Corrected original,original,policy,combined,ext_adv,972,-0.06194972753295752,0.30761316872427985
original,Corrected original,Corrected original,original,policy,combined,ext_dis,972,0.029751882361977726,0.5452674897119342
original,Corrected original,Corrected original,original,policy,combined,ext_grp,972,0.013983383950957108,0.5216049382716049
original,Corrected original,Corrected original,original,policy,education,ext_adv,2385,-0.02809273602770006,0.39454926624737946
original,Corrected original,Corrected original,original,policy,education,ext_dis,2385,0.05236275998543151,0.5853249475890986
original,Corrected original,Corrected original,original,policy,education,ext_grp,2383,0.01107427032423586,0.5119597146454049
original,Corrected original,Corrected original,original,policy,gender,ext_adv,2434,-0.0354884061801681,0.3590797041906327
original,Corrected original,Corrected original,original,policy,gender,ext_dis,2434,0.03933674714010663,0.5587510271158587
original,Corrected original,Corrected original,original,policy,gender,ext_grp,2433,0.0019169913027719183,0.46280312371557747
original,Corrected original,Corrected original,original,policy,income,ext_adv,1135,-0.03282787920553378,0.39559471365638765
original,Corrected original,Corrected original,original,policy,income,ext_dis,1135,0.051803459083315066,0.5577092511013216
original,Corrected original,Corrected original,original,policy,income,ext_grp,1135,0.002937421993993166,0.4995594713656388
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,gender,ext_adv,1853,-0.035415437234109656,0.3826227738801943
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,gender,ext_dis,1853,0.05119757438699694,0.5742039935240151
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,gender,ext_grp,1853,0.006968575587032129,0.5018888289260658
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,combined,ext_adv,397,-0.06601595298068849,0.17380352644836272
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,combined,ext_dis,397,0.021079156989106614,0.45591939546599497
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,combined,ext_grp,397,-0.004426552316980521,0.4332493702770781
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,education,ext_adv,1493,-0.0524726501451217,0.25586068318821165
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,education,ext_dis,1493,0.04744987188892083,0.45880776959142666
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,education,ext_grp,1493,0.0025259411645881732,0.44608171466845276
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,gender,ext_adv,969,-0.05233180991694923,0.25593395252837975
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,gender,ext_dis,969,0.06797262764755026,0.46233230134158926
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,gender,ext_grp,969,0.0051356946287286435,0.4324045407636739
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,income,ext_adv,1486,-0.05423636480164069,0.2611036339165545
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,income,ext_dis,1486,0.05951960360187142,0.4508748317631225
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,income,ext_grp,1486,0.005872601956888651,0.4407806191117093
tanzania,Tanzania,Tanzania,deliberative_poll,policy,gender,ext_adv,517,-0.09055121887568696,0.30754352030947774
tanzania,Tanzania,Tanzania,deliberative_poll,policy,gender,ext_dis,517,0.07418266435191001,0.6576402321083172
tanzania,Tanzania,Tanzania,deliberative_poll,policy,gender,ext_grp,517,-0.005371478403393303,0.46034816247582205
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,environmental_concern,combined,ext_adv,175,-0.06663809523809523,0.26857142857142857
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,policy,combined,ext_adv,3659,-0.08402887856427084,0.235310194042088
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,climate_belief,combined,ext_adv,230,-0.06378985507246378,0.25217391304347825
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,environmental_concern,combined,ext_dis,175,0.025222629004981942,0.5885714285714285
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,policy,combined,ext_dis,3659,0.023761027953731678,0.5460508335610823
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,climate_belief,combined,ext_dis,230,0.02829523013218666,0.5652173913043478
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,environmental_concern,combined,ext_grp,175,0.009042162599305459,0.5142857142857142
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,policy,combined,ext_grp,3659,0.006010000769075888,0.4911177917463788
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,climate_belief,combined,ext_grp,230,0.013474754217081579,0.5217391304347826
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,environmental_concern,education,ext_adv,280,-0.04951785714285714,0.32142857142857145
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,policy,education,ext_adv,5913,-0.06364141157900674,0.2687299171317436
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,climate_belief,education,ext_adv,376,-0.02602393617021277,0.30319148936170215
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,environmental_concern,education,ext_dis,280,0.040793328695114414,0.6607142857142857
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,policy,education,ext_dis,5913,0.032618380783018014,0.5721292068324032
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,climate_belief,education,ext_dis,376,0.03473371929488951,0.6223404255319149
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,environmental_concern,education,ext_grp,280,0.01959977003621962,0.6107142857142858
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,policy,education,ext_grp,5913,0.009121523308782674,0.5147979029257568
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,climate_belief,education,ext_grp,376,0.01886907790009323,0.5531914893617021
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,environmental_concern,gender,ext_adv,310,-0.041041858678955455,0.32903225806451614
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,policy,gender,ext_adv,6502,-0.04763122335984531,0.32513072900645956
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,climate_belief,gender,ext_adv,404,-0.030134174131698895,0.3292079207920792
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,environmental_concern,gender,ext_dis,310,0.02388957816377173,0.5129032258064516
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,policy,gender,ext_dis,6502,0.045585308519021185,0.5552137803752691
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,climate_belief,gender,ext_dis,404,0.02692002442002443,0.504950495049505
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,environmental_concern,gender,ext_grp,310,-0.002929909801351928,0.46774193548387094
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,policy,gender,ext_grp,6502,0.0012378687510321356,0.474930790525992
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,climate_belief,gender,ext_grp,404,0.0010043622534522314,0.42326732673267325
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,environmental_concern,income,ext_adv,296,-0.024970372157872168,0.3783783783783784
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,policy,income,ext_adv,6379,-0.04404837176549045,0.33829753879918484
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,climate_belief,income,ext_adv,396,-0.02566969296135963,0.3484848484848485
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,environmental_concern,income,ext_dis,296,0.036872989060489046,0.5574324324324325
